name,joindate,current_ts,statement_ts
c061fed6c4,2018-11-19T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
a2e9aef5f4,2018-11-09T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
55d28e1f6d,2019-04-13T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
b352f50226,2019-02-08T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
abe2ae53e2,2018-06-10T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
285ec23194,2018-04-20T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
8b917a1dbf,2019-04-06T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
64d97b1138,2018-05-12T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
ec202c079e,2018-05-11T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
0bde66ecee,2018-12-14T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
ebc8d7a1ff,2019-02-12T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
30957c2031,2019-10-09T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
ad2d1a7cec,2018-09-02T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
379e166dcc,2018-05-23T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
89417cfb0b,2018-01-15T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
1859e17ee5,2019-04-18T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
6fc4472020,2019-08-08T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
1a20443033,2018-08-16T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
8f1c2453df,2018-08-03T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
55890c7227,2019-10-02T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
9a0b1c243c,2018-06-27T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
9fb03d3722,2019-10-13T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
6bdf6adc39,2019-01-16T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
876e3252ad,2019-06-08T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
c231852ae2,2018-03-08T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
984c526b40,2018-04-04T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
e7b4eef926,2018-11-09T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
29a4cff59d,2019-01-24T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
31a5cf5f7d,2018-05-04T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
459683972f,2018-02-23T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
45812f97e0,2019-02-03T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
9f5e9c5664,2019-02-20T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
6054d0dfa5,2019-01-04T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
799a467743,2018-09-19T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
f96a4079a3,2018-04-04T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
6da3ad2157,2018-05-09T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
4c3b8873e0,2018-06-06T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
c6f74aa9a9,2018-07-26T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
97fa93fb01,2018-09-14T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
cfa8a32d2a,2019-03-15T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
5ee26a540c,2018-09-18T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
4a24bd51d7,2019-03-12T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
7fbc446be9,2018-06-22T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
f7deb5c3d1,2018-01-25T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
62899a33ff,2019-07-20T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
acadac90d0,2019-03-31T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
802e417514,2019-02-22T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
86f6f43b43,2019-02-28T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
99cbe37079,2018-03-13T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
fca38b4395,2018-08-09T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
e739d36a96,2019-04-16T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
0a8c3169d6,2019-05-13T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
05a7897cb4,2018-05-10T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
9098521965,2019-07-28T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
3553b122f2,2019-08-09T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
c210b081c7,2018-09-19T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
276ae1806f,2018-05-10T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
c8456f373a,2018-08-19T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
22aeb92dac,2018-10-17T18:30:00.000Z,2022-11-30T07:16:28.302Z,2022-11-30T07:16:28.303Z
